Date,10年期美国国债收益率
2025-07-21,4.312181523363464
2025-07-22,4.310980894839082
2025-07-23,4.301544998019887
2025-07-24,4.3000757909661464
2025-07-25,4.274596834619079
2025-07-28,4.265979741706325
2025-07-29,4.258388192669267
2025-07-30,4.261562619679724
2025-07-31,4.2631482280685455
2025-08-01,4.255048938362236
2025-08-04,4.237414827741659
2025-08-05,4.254009891377405
2025-08-06,4.175146713416931
2025-08-07,4.138657466449535
2025-08-08,4.08959967697783
2025-08-11,4.099600488346693
2025-08-12,4.089607862837034
2025-08-13,4.106528418274679
2025-08-14,4.109905800041554
2025-08-15,4.118784577208795
2025-08-18,4.048594987071235
2025-08-19,4.035835360970616
2025-08-20,4.103599830700913
2025-08-21,4.069183942857384
2025-08-22,4.044559697441299
2025-08-25,4.042261325400155
2025-08-26,3.9779567725798692
2025-08-27,3.9639708965841542
2025-08-28,3.963864166964094
2025-08-29,3.9602501474957092
