Date,中国10年期国债收益率Trend/F0.2
2025-02-17,1.9547652505058983
2025-02-18,1.952909923062913
2025-02-19,1.951054595619928
2025-02-20,1.9491992681769426
2025-02-21,1.9473439407339574
2025-02-24,1.9454886132909721
2025-02-25,1.943633285847987
2025-02-26,1.9417779584050017
2025-02-27,1.9399226309620166
2025-02-28,1.9380673035190312
2025-03-03,1.9362119760760461
2025-03-04,1.9343566486330608
2025-03-05,1.9325013211900757
2025-03-06,1.9306459937470903
2025-03-07,1.9287906663041052
2025-03-10,1.92693533886112
2025-03-11,1.9250800114181348
2025-03-12,1.9232246839751495
2025-03-13,1.9213693565321643
2025-03-14,1.919514029089179
2025-03-17,1.917658701646194
2025-03-18,1.9158033742032086
2025-03-19,1.9139480467602235
2025-03-20,1.9120927193172381
2025-03-21,1.910237391874253
2025-03-24,1.9083820644312677
2025-03-25,1.9065267369882826
2025-03-26,1.9046714095452972
2025-03-27,1.9028160821023121
2025-03-28,1.900960754659327
